City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Jacqueville,CI,2021-05-31 02:10:24,5.2052,-4.4146,82.31,81,83,8.9
68,Hilo,US,2021-05-31 02:10:25,19.7297,-155.09,88.29,83,90,11.5
69,Carnarvon,AU,2021-05-31 02:10:27,-24.8667,113.6333,66.27,68,61,9.22
70,Kargopol,RU,2021-05-31 02:10:28,61.5071,38.9456,35.89,73,14,2.77
71,Mbandaka,CD,2021-05-31 02:10:29,0.0487,18.2603,73.2,85,85,1.7
72,Cooma,AU,2021-05-31 02:10:31,-36.2333,149.1333,55.35,34,0,2.62
73,La Rioja,ES,2021-05-31 02:10:32,42.25,-2.5,55.18,95,14,3.22
74,Asyut,EG,2021-05-31 02:10:33,27.181,31.1837,84.09,15,0,2.04
75,Mount Gambier,AU,2021-05-31 02:10:34,-37.8333,140.7667,53.28,42,100,10.07
76,Atuona,PF,2021-05-31 02:10:09,-9.8,-139.0333,79.47,67,3,9.01
77,Constitucion,CL,2021-05-31 02:10:37,-35.3333,-72.4167,55.36,74,95,3.71
78,Butaritari,KI,2021-05-31 02:10:41,3.0707,172.7902,82.96,78,24,13.04
79,Georgetown,MY,2021-05-31 02:07:37,5.4112,100.3354,87.73,76,20,3.58
80,Bathsheba,BB,2021-05-31 02:10:44,13.2167,-59.5167,81.21,65,75,18.12
81,Kisangani,CD,2021-05-31 02:10:45,0.5167,25.2,71.1,93,72,1.68
82,Port-Gentil,GA,2021-05-31 02:10:47,-0.7193,8.7815,78.93,84,100,17.85
83,Tasiilaq,GL,2021-05-31 02:09:59,65.6145,-37.6368,35.76,96,94,3.78
84,Kaeo,NZ,2021-05-31 02:10:49,-35.1,173.7833,63.32,77,6,11.16
85,Rorvik,NO,2021-05-31 02:10:52,64.8621,11.2373,48.76,84,100,1.92
86,Thompson,CA,2021-05-31 02:10:53,55.7435,-97.8558,55.22,48,26,6.42
87,Waingapu,ID,2021-05-31 02:10:54,-9.6567,120.2641,83.37,61,92,4.63
88,Geraldton,AU,2021-05-31 02:07:19,-28.7667,114.6,62.13,77,90,17.18
89,Hami,CN,2021-05-31 02:10:56,42.8,93.45,74.73,9,0,10.96
90,Nelson Bay,AU,2021-05-31 02:10:58,-32.7167,152.15,64.78,68,89,1.99
91,Hobart,AU,2021-05-31 02:10:59,-42.8794,147.3294,52.27,69,0,4.03
92,Coahuayana,MX,2021-05-31 02:11:00,18.7333,-103.6833,79.23,65,91,2.59
93,Dezful,IR,2021-05-31 02:11:02,32.3811,48.4058,89.85,12,0,8.3
94,Saratovskaya,RU,2021-05-31 02:11:03,44.7103,39.2244,59.79,96,14,3.89
95,Lebu,CL,2021-05-31 02:11:04,-37.6167,-73.65,53.91,94,100,11.25
96,Tarut,SA,2021-05-31 02:11:05,26.5733,50.0369,86.2,46,0,13.27
97,Saldanha,ZA,2021-05-31 02:11:07,-33.0117,17.9442,55.8,86,93,4.76
98,Norman Wells,CA,2021-05-31 02:11:08,65.282,-126.8329,55.83,55,100,9.28
99,Dalvik,IS,2021-05-31 02:11:10,65.9702,-18.5286,46.0,66,96,9.28
100,Atasu,KZ,2021-05-31 02:11:12,48.6814,71.6433,75.2,24,83,8.88
