City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
636,Dallas,US,32.7668,-96.7836,89.01,62,75,4.0,broken clouds
637,Belen,TR,36.4891,36.2233,67.03,68,20,5.77,few clouds
638,Republic,US,37.12,-93.4802,80.78,76,75,1.99,broken clouds
639,Lianzhou,CN,24.7811,112.3825,67.91,83,0,0.51,clear sky
640,Nara,JP,34.6851,135.8049,69.49,77,100,0.72,overcast clouds
641,The Pas,CA,53.8251,-101.2541,62.62,77,40,12.08,scattered clouds
642,Kamennomostskoye,RU,43.7372,43.0514,52.68,91,100,4.52,light rain
643,Salalah,OM,17.0151,54.0924,84.29,89,40,9.22,scattered clouds
644,Saint-Pierre,RE,-21.3393,55.4781,69.44,93,75,8.05,heavy intensity rain
645,Hofgeismar,DE,51.4833,9.4,63.21,97,100,5.37,overcast clouds
646,Bima,ID,-8.4667,118.7167,73.62,93,37,2.42,scattered clouds
647,Felipe Carrillo Puerto,MX,19.5833,-88.05,94.48,43,30,11.12,scattered clouds
648,Quelimane,MZ,-17.8786,36.8883,66.15,77,62,5.3,broken clouds
649,Tumaco,CO,1.7986,-78.8156,78.62,88,100,10.67,moderate rain
650,Turayf,SA,31.6725,38.6637,80.85,19,0,8.05,clear sky
651,Kanchanaburi,TH,14.6333,99.1,76.41,88,100,5.7,overcast clouds
652,Manisa,TR,38.8333,28.1667,62.28,47,6,4.68,clear sky
653,Meulaboh,ID,4.1363,96.1285,74.98,88,100,3.91,overcast clouds
654,Cowra,AU,-33.8333,148.6833,48.27,88,79,1.81,broken clouds
655,Alta Floresta,BR,-9.8756,-56.0861,93.02,38,40,3.44,scattered clouds
656,Buraydah,SA,26.326,43.975,99.05,10,4,12.06,clear sky
657,Mareeba,AU,-17.0,145.4333,66.92,94,92,3.74,overcast clouds
658,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.2,83,47,9.71,scattered clouds
659,Cuamba,MZ,-14.8031,36.5372,60.55,87,57,7.94,broken clouds
660,Ajaccio,FR,42.0,8.9167,63.09,88,40,1.59,scattered clouds
661,Minab,IR,27.1467,57.0801,89.1,78,10,6.64,clear sky
662,Prince Rupert,CA,54.3161,-130.3201,48.29,93,90,8.05,light rain
663,Thohoyandou,ZA,-22.9456,30.485,54.5,86,97,3.74,overcast clouds
664,Suntar,RU,62.1444,117.6319,49.17,77,100,9.24,overcast clouds
665,Mkuranga,TZ,-7.118,39.2078,74.39,84,0,5.06,clear sky
666,Guerrero Negro,MX,27.9769,-114.0611,72.81,53,84,12.95,broken clouds
667,Ugoofaaru,MV,5.6667,73.0,82.31,78,99,15.59,overcast clouds
668,Moerdijk,NL,51.7034,4.6259,64.6,72,0,6.35,clear sky
669,Jurm,AF,36.8648,70.8342,72.68,34,1,2.82,clear sky
670,Fairview,US,40.8126,-73.999,97.74,39,1,4.61,clear sky
671,Slave Lake,CA,55.2834,-114.769,62.58,55,1,13.8,clear sky
672,Mangan,IN,27.5167,88.5333,73.94,98,100,1.32,overcast clouds
673,Taltal,CL,-25.4,-70.4833,63.82,71,17,4.38,few clouds
674,Mountain Home,US,43.133,-115.6912,69.94,19,20,2.1,few clouds
675,Shahr-E Babak,IR,30.1165,55.1186,85.33,8,53,11.01,broken clouds
676,Archidona,ES,37.0965,-4.3887,76.82,61,0,5.06,clear sky
677,Lillooet,CA,50.6856,-121.942,59.72,49,100,4.56,overcast clouds
678,Wajir,KE,1.7471,40.0573,82.04,51,12,26.49,few clouds
679,Mazagao,BR,-0.115,-51.2894,91.45,67,73,4.03,broken clouds
680,Bapatla,IN,15.9,80.4667,86.47,73,7,8.86,clear sky
681,Smithers,CA,54.7804,-127.1743,53.92,62,75,10.36,light rain
682,Iskateley,RU,67.6803,53.1512,35.22,83,100,12.53,overcast clouds
683,Mandera,KE,3.9366,41.867,86.38,44,99,19.91,overcast clouds
684,Cerea,IT,45.1921,11.2103,68.32,79,100,6.24,overcast clouds
685,Mazyr,BY,52.0495,29.2456,58.64,86,100,6.44,overcast clouds
686,Kalutara,LK,6.5831,79.9593,78.89,86,100,8.1,overcast clouds
687,Lady Frere,ZA,-31.7031,27.2329,48.67,42,0,6.87,clear sky
688,Kieta,PG,-6.2167,155.6333,78.15,85,99,4.63,light rain
689,Woodward,US,36.4337,-99.3904,84.92,62,40,13.18,scattered clouds
690,Abilene,US,32.4487,-99.7331,93.18,56,40,1.99,scattered clouds
691,Khuzdar,PK,27.7384,66.6434,79.77,50,0,5.12,clear sky
692,Sidney,AU,-33.8679,151.2073,50.05,86,0,4.0,clear sky
693,Oksovskiy,RU,62.6062,39.8984,54.57,88,72,9.31,broken clouds
694,Zaraza,VE,9.3503,-65.3245,90.14,45,69,6.98,broken clouds
695,Carazinho,BR,-28.2839,-52.7864,61.99,88,100,3.51,overcast clouds
696,Pamekasan,ID,-7.1568,113.4746,77.61,86,41,1.41,scattered clouds
