City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
210,Caravelas,BR,72.84,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
212,Bochov,CZ,59.31,mist,50.1487,13.0523,Hotel Slunce Chlupáč František
220,Pimentel,PE,71.89,broken clouds,-6.8367,-79.9342,Casona Del Muelle
222,Port Alfred,ZA,58.55,clear sky,-33.5906,26.891,The Halyards Hotel
224,Odzaci,RS,62.56,scattered clouds,45.5067,19.2611,Bio Ćirićev salaš
225,Arica,CL,66.43,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
226,Tura,IN,71.62,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
227,Scalea,IT,70.03,scattered clouds,39.813,15.7956,Grand Hotel de Rose
229,Quelimane,MZ,64.35,light rain,-17.8786,36.8883,Hotel Flamingo
231,Duldurga,RU,60.26,clear sky,50.6761,113.5931,Golden Dragon
233,Pula,HR,69.69,few clouds,44.8683,13.8481,Park Plaza Histria Pula
235,Calama,CL,66.69,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
241,Kamaishi,JP,67.89,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
242,Lagoa,PT,63.48,scattered clouds,39.05,-27.9833,Casa Das Faias
243,Pelym,RU,67.28,overcast clouds,61.0108,61.9978,Obshchezhitiye Pelymskogo Lpumg
244,Los Llanos De Aridane,ES,64.15,broken clouds,28.6585,-17.9182,Valle Aridane
247,Shimoda,JP,71.17,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
249,Xixiang,CN,74.73,clear sky,35.1628,112.865,Sanmao Hotel Hotel
256,Mount Gambier,AU,55.31,light rain,-37.8333,140.7667,Commodore on the Park
258,Japura,ID,73.51,broken clouds,-0.3167,102.35,Rumah mbah Jamah
259,Varniai,LT,56.89,clear sky,55.7406,22.3644,Lūkstas Rest Park
262,Waipawa,NZ,58.03,moderate rain,-41.4122,175.5153,Tora Coastal Walk
